gameSlug,videoSrc,imgSrc,url,name,score,type
vehicles-3-car-toons,https://videos.crazygames.com/null,,http://www.crazygames.com/game/vehicles-3-car-toons,"
Vehicles 3 Car Toons ","
8.7 ",puzzle
spider-solitaire-2-suits,https://videos.crazygames.com/null,,http://www.crazygames.com/game/spider-solitaire-2-suits,"
Spider Solitaire 2 Suits ","
7.6 ",puzzle
2048-bricks,https://videos.crazygames.com/null,,http://www.crazygames.com/game/2048-bricks,"
2048 Bricks ","
7.4 ",puzzle
nimble-knight,https://videos.crazygames.com/null,,http://www.crazygames.com/game/nimble-knight,"
Nimble Knight ","
7.7 ",puzzle
cookie-needs-jam-2,https://videos.crazygames.com/null,,http://www.crazygames.com/game/cookie-needs-jam-2,"
Cookie Needs Jam 2 ","
8.0 ",puzzle
mahjong-christmas-puzzles,https://videos.crazygames.com/null,,http://www.crazygames.com/game/mahjong-christmas-puzzles,"
Mahjong Christmas Puzzles ","
7.2 ",puzzle
zomback-2,https://videos.crazygames.com/null,,http://www.crazygames.com/game/zomback-2,"
Zomback 2 ","
7.5 ",puzzle
pixel-shuffle,https://videos.crazygames.com/null,,http://www.crazygames.com/game/pixel-shuffle,"
Pixel Shuffle ","
7.4 ",puzzle
draw-play,https://videos.crazygames.com/draw-play.mp4,"https://images.crazygames.com/draw-play.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/draw-play,"
Draw-Play ","
6.6 ",puzzle
draw-play-3,https://videos.crazygames.com/draw-play-3.mp4,"https://images.crazygames.com/draw-play3.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/draw-play-3,"
Draw-Play 3 ","
7.2 ",puzzle
green-liquid,https://videos.crazygames.com/null,,http://www.crazygames.com/game/green-liquid,"
Green Liquid ","
7.3 ",puzzle
lexicopolis-a-b-city,https://videos.crazygames.com/null,,https://www.crazygames.com/game/lexicopolis-a-b-city,"
Lexicopolis A-B City ","
8.3 ",puzzle
a-soccer-challenge,https://videos.crazygames.com/null,,http://www.crazygames.com/game/a-soccer-challenge,"
A Soccer Challenge ","
7.5 ",puzzle
universo-gaia,https://videos.crazygames.com/null,,https://www.crazygames.com/game/universo-gaia,"
Universo: Gaia ","
8.3 ",puzzle
age-manipulation,https://videos.crazygames.com/null,,http://www.crazygames.com/game/age-manipulation,"
Age Manipulation ","
7.9 ",puzzle
